following_time,hhd,hrd,density,engaged,overwhelmed,distracted,impatient,dominant_state,dominant_value
short,close,close,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
short,close,close,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
short,close,close,crowded,0.816948356807512,0.816948356807512,0.5,0.5,engaged,0.816948356807512
short,close,medium,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
short,close,medium,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
short,close,medium,crowded,0.674597701149425,0.5,0.5,0.5,engaged,0.674597701149425
short,close,far,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
short,close,far,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
short,close,far,crowded,0.674597701149425,0.5,0.5,0.5,engaged,0.674597701149425
short,medium,close,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
short,medium,close,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
short,medium,close,crowded,0.674597701149425,0.5,0.5,0.5,engaged,0.674597701149425
short,medium,medium,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
short,medium,medium,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
short,medium,medium,crowded,0.674597701149425,0.5,0.5,0.5,engaged,0.674597701149425
short,medium,far,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
short,medium,far,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
short,medium,far,crowded,0.674597701149425,0.5,0.5,0.5,engaged,0.674597701149425
short,far,close,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
short,far,close,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
short,far,close,crowded,0.674597701149425,0.5,0.5,0.5,engaged,0.674597701149425
short,far,medium,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
short,far,medium,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
short,far,medium,crowded,0.674597701149425,0.5,0.5,0.5,engaged,0.674597701149425
short,far,far,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
short,far,far,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
short,far,far,crowded,0.674597701149425,0.5,0.5,0.5,engaged,0.674597701149425
medium,close,close,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
medium,close,close,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
medium,close,close,crowded,0.5,0.816948356807512,0.5,0.5,overwhelmed,0.816948356807512
medium,close,medium,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
medium,close,medium,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
medium,close,medium,crowded,0.674597701149425,0.5,0.5,0.5,engaged,0.674597701149425
medium,close,far,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
medium,close,far,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
medium,close,far,crowded,0.5,0.5,0.5,0.5,engaged,0.5
medium,medium,close,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
medium,medium,close,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
medium,medium,close,crowded,0.674597701149425,0.5,0.5,0.5,engaged,0.674597701149425
medium,medium,medium,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
medium,medium,medium,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
medium,medium,medium,crowded,0.674597701149425,0.5,0.5,0.5,engaged,0.674597701149425
medium,medium,far,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
medium,medium,far,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
medium,medium,far,crowded,0.674597701149425,0.5,0.5,0.5,engaged,0.674597701149425
medium,far,close,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
medium,far,close,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
medium,far,close,crowded,0.5,0.5,0.5,0.5,engaged,0.5
medium,far,medium,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
medium,far,medium,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
medium,far,medium,crowded,0.674597701149425,0.5,0.5,0.5,engaged,0.674597701149425
medium,far,far,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
medium,far,far,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
medium,far,far,crowded,0.5,0.5,0.5,0.5,engaged,0.5
long,close,close,low,0.5,0.5,0.5,0.816948356807512,impatient,0.816948356807512
long,close,close,medium,0.5,0.5,0.5,0.816948356807512,impatient,0.816948356807512
long,close,close,crowded,0.183051643192488,0.816948356807512,0.5,0.5,overwhelmed,0.816948356807512
long,close,medium,low,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
long,close,medium,medium,0.816948356807512,0.5,0.5,0.5,engaged,0.816948356807512
long,close,medium,crowded,0.674597701149425,0.5,0.5,0.5,engaged,0.674597701149425
long,close,far,low,0.5,0.5,0.5,0.5,engaged,0.5
