following_time,hhd,hrd,density,engaged,overwhelmed,distracted,impatient,max_out,top2_out,margin,spread,dominant_state,low_conf_flag,ambiguous_flag,flat_flag,conf_eng_ovw,conf_eng_dis,conf_eng_imp,conf_ovw_dis,conf_ovw_imp,conf_dis_imp,any_conflict
55,0,3,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
60,0,3,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
55,0.3,3,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
60,0.3,3,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
55,0,4,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
60,0,4,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
55,0.3,4,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
60,0.3,4,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
55,0,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
60,0,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
55,0.3,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
60,0.3,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
55,0,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
60,0,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
55,0.3,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
60,0.3,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
55,0,3,2,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
60,0,3,2,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
55,0.3,3,2,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
60,0.3,3,2,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
55,0,4,2,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
60,0,4,2,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
55,0.3,4,2,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
60,0.3,4,2,0.5,0.5,0.5,0.5,0.5,0.5,0,0,engaged,1,1,1,0,0,0,0,0,0,0
25,2,0,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
35,2,0,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
45,2,0,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
55,2,0,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
60,2,0,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
25,4,0,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
35,4,0,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
45,4,0,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
55,4,0,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
60,4,0,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
25,2,0.5,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
35,2,0.5,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
45,2,0.5,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
55,2,0.5,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
60,2,0.5,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
25,4,0.5,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
35,4,0.5,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
45,4,0.5,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
55,4,0.5,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
60,4,0.5,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
25,0,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
35,0,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
45,0,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
55,0,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
60,0,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
25,0.3,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
35,0.3,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
45,0.3,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
55,0.3,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
60,0.3,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
25,2,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
35,2,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
45,2,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
55,2,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
60,2,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
25,4,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
35,4,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
45,4,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
55,4,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
60,4,3,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
25,0,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
35,0,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
45,0,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
55,0,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
60,0,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
25,0.3,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
35,0.3,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
45,0.3,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
55,0.3,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
60,0.3,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
25,2,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
35,2,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
45,2,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
55,2,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
60,2,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
25,4,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
35,4,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
45,4,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
55,4,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
60,4,4,7,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
25,2,0,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
35,2,0,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
45,2,0,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
55,2,0,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
60,2,0,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
25,4,0,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
35,4,0,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
45,4,0,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
55,4,0,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
60,4,0,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
25,2,0.5,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
35,2,0.5,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
45,2,0.5,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
55,2,0.5,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
60,2,0.5,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
25,4,0.5,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
35,4,0.5,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
45,4,0.5,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
55,4,0.5,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
60,4,0.5,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
25,0,3,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
35,0,3,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
45,0,3,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
55,0,3,10,0.5,0.5,0.5,0.5,0.5,0.5,0,1.11022302462516e-16,engaged,1,1,1,0,0,0,0,0,0,0
