metric,value
total_samples,2744
ambiguous_rate,0.237609329446064
low_confidence_rate,0.224489795918367
flat_output_rate,0.231778425655977
any_conflict_rate,0.0295189504373178
high_threshold,0.6
lowconf_threshold,0.55
margin_threshold,0.05
spread_threshold,0.1
dominant_distracted,0.032798833819242
dominant_engaged,0.857871720116618
dominant_impatient,0.0393586005830904
dominant_overwhelmed,0.0699708454810496
conflict_engaged_overwhelmed,0.0295189504373178
conflict_engaged_distracted,0
conflict_engaged_impatient,0
conflict_overwhelmed_distracted,0
conflict_overwhelmed_impatient,0
conflict_distracted_impatient,0
