following_time,hhd,hrd,density,overwhelmed,distracted,impatient,engaged
0,0,0,0,0.5,0.5,0.5,0.847049180327869
5,0,0,0,0.5,0.5,0.5,0.847049180327869
15,0,0,0,0.5,0.5,0.5,0.847049180327869
25,0,0,0,0.5,0.5,0.5,0.847049180327869
35,0,0,0,0.5,0.5,0.5,0.847049180327869
45,0,0,0,0.5,0.5,0.826338028169014,0.599326424870466
55,0,0,0,0.5,0.5,0.847049180327869,0.5
60,0,0,0,0.5,0.5,0.847049180327869,0.5
0,0.3,0,0,0.5,0.5,0.5,0.847049180327869
5,0.3,0,0,0.5,0.5,0.5,0.847049180327869
15,0.3,0,0,0.5,0.5,0.5,0.847049180327869
25,0.3,0,0,0.5,0.5,0.5,0.847049180327869
35,0.3,0,0,0.5,0.5,0.5,0.847049180327869
45,0.3,0,0,0.5,0.5,0.826338028169014,0.599326424870466
55,0.3,0,0,0.5,0.5,0.847049180327869,0.5
60,0.3,0,0,0.5,0.5,0.847049180327869,0.5
0,0.55,0,0,0.5,0.5,0.5,0.847049180327869
5,0.55,0,0,0.5,0.5,0.5,0.847049180327869
15,0.55,0,0,0.5,0.5,0.5,0.847049180327869
25,0.55,0,0,0.5,0.5,0.5,0.847049180327869
35,0.55,0,0,0.5,0.5,0.5,0.847049180327869
45,0.55,0,0,0.5,0.5,0.826338028169014,0.599326424870467
55,0.55,0,0,0.5,0.5,0.826338028169014,0.599326424870467
60,0.55,0,0,0.5,0.5,0.826338028169014,0.599326424870467
0,0.75,0,0,0.5,0.5,0.5,0.847049180327869
5,0.75,0,0,0.5,0.5,0.5,0.847049180327869
15,0.75,0,0,0.5,0.5,0.5,0.847049180327869
25,0.75,0,0,0.5,0.5,0.5,0.847049180327869
35,0.75,0,0,0.5,0.5,0.5,0.847049180327869
45,0.75,0,0,0.5,0.5,0.5,0.847049180327869
55,0.75,0,0,0.5,0.5,0.5,0.847049180327869
60,0.75,0,0,0.5,0.5,0.5,0.847049180327869
0,0.95,0,0,0.5,0.5,0.5,0.847049180327869
5,0.95,0,0,0.5,0.5,0.5,0.847049180327869
15,0.95,0,0,0.5,0.5,0.5,0.847049180327869
25,0.95,0,0,0.5,0.5,0.5,0.847049180327869
35,0.95,0,0,0.5,0.5,0.5,0.847049180327869
45,0.95,0,0,0.5,0.5,0.5,0.847049180327869
55,0.95,0,0,0.5,0.5,0.5,0.847049180327869
60,0.95,0,0,0.5,0.5,0.5,0.847049180327869
0,2,0,0,0.5,0.5,0.5,0.847049180327869
5,2,0,0,0.5,0.5,0.5,0.847049180327869
15,2,0,0,0.5,0.5,0.5,0.847049180327869
25,2,0,0,0.5,0.5,0.5,0.847049180327869
35,2,0,0,0.5,0.5,0.5,0.847049180327869
45,2,0,0,0.5,0.5,0.5,0.847049180327869
55,2,0,0,0.5,0.5,0.5,0.847049180327869
60,2,0,0,0.5,0.5,0.5,0.847049180327869
0,4,0,0,0.5,0.5,0.5,0.847049180327869
5,4,0,0,0.5,0.5,0.5,0.847049180327869
15,4,0,0,0.5,0.5,0.5,0.847049180327869
25,4,0,0,0.5,0.5,0.5,0.847049180327869
35,4,0,0,0.5,0.5,0.5,0.847049180327869
45,4,0,0,0.5,0.5,0.5,0.847049180327869
55,4,0,0,0.5,0.5,0.5,0.847049180327869
60,4,0,0,0.5,0.5,0.5,0.847049180327869
0,0,0.5,0,0.5,0.5,0.5,0.847049180327869
5,0,0.5,0,0.5,0.5,0.5,0.847049180327869
15,0,0.5,0,0.5,0.5,0.5,0.847049180327869
25,0,0.5,0,0.5,0.5,0.5,0.847049180327869
35,0,0.5,0,0.5,0.5,0.5,0.847049180327869
45,0,0.5,0,0.5,0.5,0.826338028169014,0.599326424870466
55,0,0.5,0,0.5,0.5,0.847049180327869,0.5
60,0,0.5,0,0.5,0.5,0.847049180327869,0.5
0,0.3,0.5,0,0.5,0.5,0.5,0.847049180327869
5,0.3,0.5,0,0.5,0.5,0.5,0.847049180327869
15,0.3,0.5,0,0.5,0.5,0.5,0.847049180327869
25,0.3,0.5,0,0.5,0.5,0.5,0.847049180327869
35,0.3,0.5,0,0.5,0.5,0.5,0.847049180327869
45,0.3,0.5,0,0.5,0.5,0.826338028169014,0.599326424870466
55,0.3,0.5,0,0.5,0.5,0.847049180327869,0.5
60,0.3,0.5,0,0.5,0.5,0.847049180327869,0.5
0,0.55,0.5,0,0.5,0.5,0.5,0.847049180327869
5,0.55,0.5,0,0.5,0.5,0.5,0.847049180327869
15,0.55,0.5,0,0.5,0.5,0.5,0.847049180327869
25,0.55,0.5,0,0.5,0.5,0.5,0.847049180327869
35,0.55,0.5,0,0.5,0.5,0.5,0.847049180327869
45,0.55,0.5,0,0.5,0.5,0.826338028169014,0.599326424870467
55,0.55,0.5,0,0.5,0.5,0.826338028169014,0.599326424870467
60,0.55,0.5,0,0.5,0.5,0.826338028169014,0.599326424870467
0,0.75,0.5,0,0.5,0.5,0.5,0.847049180327869
5,0.75,0.5,0,0.5,0.5,0.5,0.847049180327869
15,0.75,0.5,0,0.5,0.5,0.5,0.847049180327869
25,0.75,0.5,0,0.5,0.5,0.5,0.847049180327869
35,0.75,0.5,0,0.5,0.5,0.5,0.847049180327869
45,0.75,0.5,0,0.5,0.5,0.5,0.847049180327869
55,0.75,0.5,0,0.5,0.5,0.5,0.847049180327869
60,0.75,0.5,0,0.5,0.5,0.5,0.847049180327869
0,0.95,0.5,0,0.5,0.5,0.5,0.847049180327869
5,0.95,0.5,0,0.5,0.5,0.5,0.847049180327869
15,0.95,0.5,0,0.5,0.5,0.5,0.847049180327869
25,0.95,0.5,0,0.5,0.5,0.5,0.847049180327869
35,0.95,0.5,0,0.5,0.5,0.5,0.847049180327869
45,0.95,0.5,0,0.5,0.5,0.5,0.847049180327869
55,0.95,0.5,0,0.5,0.5,0.5,0.847049180327869
60,0.95,0.5,0,0.5,0.5,0.5,0.847049180327869
0,2,0.5,0,0.5,0.5,0.5,0.847049180327869
5,2,0.5,0,0.5,0.5,0.5,0.847049180327869
15,2,0.5,0,0.5,0.5,0.5,0.847049180327869
25,2,0.5,0,0.5,0.5,0.5,0.847049180327869
35,2,0.5,0,0.5,0.5,0.5,0.847049180327869
45,2,0.5,0,0.5,0.5,0.5,0.847049180327869
55,2,0.5,0,0.5,0.5,0.5,0.847049180327869
60,2,0.5,0,0.5,0.5,0.5,0.847049180327869
0,4,0.5,0,0.5,0.5,0.5,0.847049180327869
5,4,0.5,0,0.5,0.5,0.5,0.847049180327869
15,4,0.5,0,0.5,0.5,0.5,0.847049180327869
25,4,0.5,0,0.5,0.5,0.5,0.847049180327869
35,4,0.5,0,0.5,0.5,0.5,0.847049180327869
45,4,0.5,0,0.5,0.5,0.5,0.847049180327869
55,4,0.5,0,0.5,0.5,0.5,0.847049180327869
60,4,0.5,0,0.5,0.5,0.5,0.847049180327869
0,0,1.1,0,0.5,0.5,0.5,0.847049180327869
5,0,1.1,0,0.5,0.5,0.5,0.847049180327869
15,0,1.1,0,0.5,0.5,0.5,0.847049180327869
25,0,1.1,0,0.5,0.5,0.5,0.847049180327869
35,0,1.1,0,0.5,0.5,0.5,0.847049180327869
45,0,1.1,0,0.5,0.5,0.826338028169014,0.599326424870466
55,0,1.1,0,0.5,0.5,0.826338028169014,0.5
60,0,1.1,0,0.5,0.5,0.826338028169014,0.5
0,0.3,1.1,0,0.5,0.5,0.5,0.847049180327869
5,0.3,1.1,0,0.5,0.5,0.5,0.847049180327869
15,0.3,1.1,0,0.5,0.5,0.5,0.847049180327869
25,0.3,1.1,0,0.5,0.5,0.5,0.847049180327869
35,0.3,1.1,0,0.5,0.5,0.5,0.847049180327869
45,0.3,1.1,0,0.5,0.5,0.826338028169014,0.599326424870466
55,0.3,1.1,0,0.5,0.5,0.826338028169014,0.5
60,0.3,1.1,0,0.5,0.5,0.826338028169014,0.5
0,0.55,1.1,0,0.5,0.5,0.5,0.847049180327869
5,0.55,1.1,0,0.5,0.5,0.5,0.847049180327869
15,0.55,1.1,0,0.5,0.5,0.5,0.847049180327869
25,0.55,1.1,0,0.5,0.5,0.5,0.847049180327869
35,0.55,1.1,0,0.5,0.5,0.5,0.847049180327869
45,0.55,1.1,0,0.5,0.5,0.826338028169014,0.599326424870467
55,0.55,1.1,0,0.5,0.5,0.826338028169014,0.599326424870467
60,0.55,1.1,0,0.5,0.5,0.826338028169014,0.599326424870467
0,0.75,1.1,0,0.5,0.5,0.5,0.847049180327869
5,0.75,1.1,0,0.5,0.5,0.5,0.847049180327869
15,0.75,1.1,0,0.5,0.5,0.5,0.847049180327869
25,0.75,1.1,0,0.5,0.5,0.5,0.847049180327869
35,0.75,1.1,0,0.5,0.5,0.5,0.847049180327869
45,0.75,1.1,0,0.5,0.5,0.5,0.847049180327869
55,0.75,1.1,0,0.5,0.5,0.5,0.847049180327869
60,0.75,1.1,0,0.5,0.5,0.5,0.847049180327869
0,0.95,1.1,0,0.5,0.5,0.5,0.847049180327869
5,0.95,1.1,0,0.5,0.5,0.5,0.847049180327869
15,0.95,1.1,0,0.5,0.5,0.5,0.847049180327869
25,0.95,1.1,0,0.5,0.5,0.5,0.847049180327869
35,0.95,1.1,0,0.5,0.5,0.5,0.847049180327869
45,0.95,1.1,0,0.5,0.5,0.5,0.847049180327869
55,0.95,1.1,0,0.5,0.5,0.5,0.847049180327869
60,0.95,1.1,0,0.5,0.5,0.5,0.847049180327869
0,2,1.1,0,0.5,0.5,0.5,0.847049180327869
5,2,1.1,0,0.5,0.5,0.5,0.847049180327869
15,2,1.1,0,0.5,0.5,0.5,0.847049180327869
25,2,1.1,0,0.5,0.5,0.5,0.847049180327869
35,2,1.1,0,0.5,0.5,0.5,0.847049180327869
45,2,1.1,0,0.5,0.5,0.5,0.847049180327869
55,2,1.1,0,0.5,0.5,0.5,0.847049180327869
60,2,1.1,0,0.5,0.5,0.5,0.847049180327869
0,4,1.1,0,0.5,0.5,0.5,0.847049180327869
5,4,1.1,0,0.5,0.5,0.5,0.847049180327869
15,4,1.1,0,0.5,0.5,0.5,0.847049180327869
25,4,1.1,0,0.5,0.5,0.5,0.847049180327869
35,4,1.1,0,0.5,0.5,0.5,0.847049180327869
45,4,1.1,0,0.5,0.5,0.5,0.847049180327869
55,4,1.1,0,0.5,0.5,0.5,0.847049180327869
60,4,1.1,0,0.5,0.5,0.5,0.847049180327869
0,0,1.6,0,0.5,0.5,0.5,0.847049180327869
5,0,1.6,0,0.5,0.5,0.5,0.847049180327869
15,0,1.6,0,0.5,0.5,0.5,0.847049180327869
25,0,1.6,0,0.5,0.5,0.5,0.847049180327869
35,0,1.6,0,0.5,0.5,0.5,0.847049180327869
45,0,1.6,0,0.5,0.5,0.5,0.599326424870466
55,0,1.6,0,0.5,0.5,0.5,0.5
60,0,1.6,0,0.5,0.5,0.5,0.5
0,0.3,1.6,0,0.5,0.5,0.5,0.847049180327869
5,0.3,1.6,0,0.5,0.5,0.5,0.847049180327869
15,0.3,1.6,0,0.5,0.5,0.5,0.847049180327869
25,0.3,1.6,0,0.5,0.5,0.5,0.847049180327869
35,0.3,1.6,0,0.5,0.5,0.5,0.847049180327869
45,0.3,1.6,0,0.5,0.5,0.5,0.599326424870466
55,0.3,1.6,0,0.5,0.5,0.5,0.5
60,0.3,1.6,0,0.5,0.5,0.5,0.5
0,0.55,1.6,0,0.5,0.5,0.5,0.847049180327869
5,0.55,1.6,0,0.5,0.5,0.5,0.847049180327869
15,0.55,1.6,0,0.5,0.5,0.5,0.847049180327869
25,0.55,1.6,0,0.5,0.5,0.5,0.847049180327869
35,0.55,1.6,0,0.5,0.5,0.5,0.847049180327869
45,0.55,1.6,0,0.5,0.5,0.5,0.599326424870467
55,0.55,1.6,0,0.5,0.5,0.5,0.599326424870467
60,0.55,1.6,0,0.5,0.5,0.5,0.599326424870467
0,0.75,1.6,0,0.5,0.5,0.5,0.847049180327869
5,0.75,1.6,0,0.5,0.5,0.5,0.847049180327869
15,0.75,1.6,0,0.5,0.5,0.5,0.847049180327869
25,0.75,1.6,0,0.5,0.5,0.5,0.847049180327869
35,0.75,1.6,0,0.5,0.5,0.5,0.847049180327869
45,0.75,1.6,0,0.5,0.5,0.5,0.847049180327869
55,0.75,1.6,0,0.5,0.5,0.5,0.847049180327869
60,0.75,1.6,0,0.5,0.5,0.5,0.847049180327869
0,0.95,1.6,0,0.5,0.5,0.5,0.847049180327869
5,0.95,1.6,0,0.5,0.5,0.5,0.847049180327869
15,0.95,1.6,0,0.5,0.5,0.5,0.847049180327869
25,0.95,1.6,0,0.5,0.5,0.5,0.847049180327869
35,0.95,1.6,0,0.5,0.5,0.5,0.847049180327869
45,0.95,1.6,0,0.5,0.5,0.5,0.847049180327869
55,0.95,1.6,0,0.5,0.5,0.5,0.847049180327869
60,0.95,1.6,0,0.5,0.5,0.5,0.847049180327869
0,2,1.6,0,0.5,0.5,0.5,0.847049180327869
5,2,1.6,0,0.5,0.5,0.5,0.847049180327869
15,2,1.6,0,0.5,0.5,0.5,0.847049180327869
25,2,1.6,0,0.5,0.5,0.5,0.847049180327869
35,2,1.6,0,0.5,0.5,0.5,0.847049180327869
45,2,1.6,0,0.5,0.5,0.5,0.847049180327869
55,2,1.6,0,0.5,0.5,0.5,0.847049180327869
60,2,1.6,0,0.5,0.5,0.5,0.847049180327869
0,4,1.6,0,0.5,0.5,0.5,0.847049180327869
5,4,1.6,0,0.5,0.5,0.5,0.847049180327869
15,4,1.6,0,0.5,0.5,0.5,0.847049180327869
25,4,1.6,0,0.5,0.5,0.5,0.847049180327869
35,4,1.6,0,0.5,0.5,0.5,0.847049180327869
45,4,1.6,0,0.5,0.5,0.5,0.847049180327869
55,4,1.6,0,0.5,0.5,0.5,0.847049180327869
60,4,1.6,0,0.5,0.5,0.5,0.847049180327869
0,0,2.1,0,0.5,0.5,0.5,0.847049180327869
5,0,2.1,0,0.5,0.5,0.5,0.847049180327869
15,0,2.1,0,0.5,0.5,0.5,0.847049180327869
25,0,2.1,0,0.5,0.5,0.5,0.847049180327869
35,0,2.1,0,0.5,0.5,0.5,0.847049180327869
45,0,2.1,0,0.5,0.5,0.5,0.599326424870466
55,0,2.1,0,0.5,0.5,0.5,0.5
60,0,2.1,0,0.5,0.5,0.5,0.5
0,0.3,2.1,0,0.5,0.5,0.5,0.847049180327869
5,0.3,2.1,0,0.5,0.5,0.5,0.847049180327869
15,0.3,2.1,0,0.5,0.5,0.5,0.847049180327869
25,0.3,2.1,0,0.5,0.5,0.5,0.847049180327869
35,0.3,2.1,0,0.5,0.5,0.5,0.847049180327869
45,0.3,2.1,0,0.5,0.5,0.5,0.599326424870466
55,0.3,2.1,0,0.5,0.5,0.5,0.5
60,0.3,2.1,0,0.5,0.5,0.5,0.5
0,0.55,2.1,0,0.5,0.5,0.5,0.847049180327869
5,0.55,2.1,0,0.5,0.5,0.5,0.847049180327869
15,0.55,2.1,0,0.5,0.5,0.5,0.847049180327869
25,0.55,2.1,0,0.5,0.5,0.5,0.847049180327869
35,0.55,2.1,0,0.5,0.5,0.5,0.847049180327869
45,0.55,2.1,0,0.5,0.826338028169014,0.5,0.599326424870467
55,0.55,2.1,0,0.5,0.826338028169014,0.5,0.599326424870467
60,0.55,2.1,0,0.5,0.826338028169014,0.5,0.599326424870467
0,0.75,2.1,0,0.5,0.5,0.5,0.847049180327869
5,0.75,2.1,0,0.5,0.5,0.5,0.847049180327869
15,0.75,2.1,0,0.5,0.5,0.5,0.847049180327869
25,0.75,2.1,0,0.5,0.5,0.5,0.847049180327869
35,0.75,2.1,0,0.5,0.5,0.5,0.847049180327869
45,0.75,2.1,0,0.5,0.826338028169014,0.5,0.847049180327869
55,0.75,2.1,0,0.5,0.826338028169014,0.5,0.847049180327869
60,0.75,2.1,0,0.5,0.826338028169014,0.5,0.847049180327869
0,0.95,2.1,0,0.5,0.5,0.5,0.847049180327869
5,0.95,2.1,0,0.5,0.5,0.5,0.847049180327869
15,0.95,2.1,0,0.5,0.5,0.5,0.847049180327869
25,0.95,2.1,0,0.5,0.5,0.5,0.847049180327869
35,0.95,2.1,0,0.5,0.5,0.5,0.847049180327869
45,0.95,2.1,0,0.5,0.826338028169014,0.5,0.847049180327869
55,0.95,2.1,0,0.5,0.826338028169014,0.5,0.847049180327869
60,0.95,2.1,0,0.5,0.826338028169014,0.5,0.847049180327869
0,2,2.1,0,0.5,0.5,0.5,0.847049180327869
5,2,2.1,0,0.5,0.5,0.5,0.847049180327869
15,2,2.1,0,0.5,0.5,0.5,0.847049180327869
25,2,2.1,0,0.5,0.5,0.5,0.847049180327869
35,2,2.1,0,0.5,0.5,0.5,0.847049180327869
45,2,2.1,0,0.5,0.826338028169014,0.5,0.847049180327869
55,2,2.1,0,0.5,0.826338028169014,0.5,0.847049180327869
60,2,2.1,0,0.5,0.826338028169014,0.5,0.847049180327869
0,4,2.1,0,0.5,0.5,0.5,0.847049180327869
5,4,2.1,0,0.5,0.5,0.5,0.847049180327869
15,4,2.1,0,0.5,0.5,0.5,0.847049180327869
25,4,2.1,0,0.5,0.5,0.5,0.847049180327869
35,4,2.1,0,0.5,0.5,0.5,0.847049180327869
45,4,2.1,0,0.5,0.826338028169014,0.5,0.847049180327869
55,4,2.1,0,0.5,0.826338028169014,0.5,0.847049180327869
60,4,2.1,0,0.5,0.826338028169014,0.5,0.847049180327869
0,0,3,0,0.5,0.5,0.5,0.847049180327869
5,0,3,0,0.5,0.5,0.5,0.847049180327869
15,0,3,0,0.5,0.5,0.5,0.847049180327869
25,0,3,0,0.5,0.5,0.5,0.847049180327869
35,0,3,0,0.5,0.5,0.5,0.847049180327869
45,0,3,0,0.5,0.5,0.5,0.599326424870466
55,0,3,0,0.5,0.5,0.5,0.5
60,0,3,0,0.5,0.5,0.5,0.5
0,0.3,3,0,0.5,0.5,0.5,0.847049180327869
5,0.3,3,0,0.5,0.5,0.5,0.847049180327869
15,0.3,3,0,0.5,0.5,0.5,0.847049180327869
25,0.3,3,0,0.5,0.5,0.5,0.847049180327869
35,0.3,3,0,0.5,0.5,0.5,0.847049180327869
45,0.3,3,0,0.5,0.5,0.5,0.599326424870466
55,0.3,3,0,0.5,0.5,0.5,0.5
60,0.3,3,0,0.5,0.5,0.5,0.5
0,0.55,3,0,0.5,0.5,0.5,0.847049180327869
5,0.55,3,0,0.5,0.5,0.5,0.847049180327869
15,0.55,3,0,0.5,0.5,0.5,0.847049180327869
25,0.55,3,0,0.5,0.5,0.5,0.847049180327869
35,0.55,3,0,0.5,0.5,0.5,0.847049180327869
45,0.55,3,0,0.5,0.826338028169014,0.5,0.599326424870467
55,0.55,3,0,0.5,0.826338028169014,0.5,0.599326424870467
60,0.55,3,0,0.5,0.826338028169014,0.5,0.599326424870467
0,0.75,3,0,0.5,0.5,0.5,0.847049180327869
5,0.75,3,0,0.5,0.5,0.5,0.847049180327869
15,0.75,3,0,0.5,0.5,0.5,0.847049180327869
25,0.75,3,0,0.5,0.5,0.5,0.847049180327869
35,0.75,3,0,0.5,0.5,0.5,0.847049180327869
45,0.75,3,0,0.5,0.826338028169014,0.5,0.847049180327869
55,0.75,3,0,0.5,0.847049180327869,0.5,0.847049180327869
60,0.75,3,0,0.5,0.847049180327869,0.5,0.847049180327869
0,0.95,3,0,0.5,0.5,0.5,0.847049180327869
5,0.95,3,0,0.5,0.5,0.5,0.847049180327869
15,0.95,3,0,0.5,0.5,0.5,0.847049180327869
25,0.95,3,0,0.5,0.5,0.5,0.847049180327869
35,0.95,3,0,0.5,0.5,0.5,0.847049180327869
45,0.95,3,0,0.5,0.826338028169014,0.5,0.847049180327869
55,0.95,3,0,0.5,0.826338028169014,0.5,0.847049180327869
60,0.95,3,0,0.5,0.826338028169014,0.5,0.847049180327869
0,2,3,0,0.5,0.5,0.5,0.847049180327869
5,2,3,0,0.5,0.5,0.5,0.847049180327869
15,2,3,0,0.5,0.5,0.5,0.847049180327869
25,2,3,0,0.5,0.5,0.5,0.847049180327869
35,2,3,0,0.5,0.5,0.5,0.847049180327869
45,2,3,0,0.5,0.826338028169014,0.5,0.847049180327869
55,2,3,0,0.5,0.847049180327869,0.5,0.847049180327869
60,2,3,0,0.5,0.847049180327869,0.5,0.847049180327869
0,4,3,0,0.5,0.5,0.5,0.847049180327869
5,4,3,0,0.5,0.5,0.5,0.847049180327869
15,4,3,0,0.5,0.5,0.5,0.847049180327869
25,4,3,0,0.5,0.5,0.5,0.847049180327869
35,4,3,0,0.5,0.5,0.5,0.847049180327869
45,4,3,0,0.5,0.826338028169014,0.5,0.847049180327869
55,4,3,0,0.5,0.847049180327869,0.5,0.847049180327869
60,4,3,0,0.5,0.847049180327869,0.5,0.847049180327869
0,0,4,0,0.5,0.5,0.5,0.847049180327869
5,0,4,0,0.5,0.5,0.5,0.847049180327869
15,0,4,0,0.5,0.5,0.5,0.847049180327869
25,0,4,0,0.5,0.5,0.5,0.847049180327869
35,0,4,0,0.5,0.5,0.5,0.847049180327869
45,0,4,0,0.5,0.5,0.5,0.599326424870466
55,0,4,0,0.5,0.5,0.5,0.5
60,0,4,0,0.5,0.5,0.5,0.5
0,0.3,4,0,0.5,0.5,0.5,0.847049180327869
5,0.3,4,0,0.5,0.5,0.5,0.847049180327869
15,0.3,4,0,0.5,0.5,0.5,0.847049180327869
25,0.3,4,0,0.5,0.5,0.5,0.847049180327869
35,0.3,4,0,0.5,0.5,0.5,0.847049180327869
45,0.3,4,0,0.5,0.5,0.5,0.599326424870466
55,0.3,4,0,0.5,0.5,0.5,0.5
