following_time,hhd,hrd,density,expected_state,,"Conditions:
overwhelmed: density is crowded + hhd or hrd is close
distracted: hhd is far + hrd is far
impatient: following time is long and ",,,,,
short,close,close,low,engaged,,,,,,,
short,close,close,medium,engaged,,,,,,,
short,close,close,crowded,overwhelmed,,,,,,,
short,close,medium,low,engaged,,,,,,,
short,close,medium,medium,engaged,,,,,,,
short,close,medium,crowded,overwhelmed,,,,,,,
short,close,far,low,distracted,,,,,,,
short,close,far,medium,distracted,,,,,,,
short,close,far,crowded,overwhelmed,,,,,,,
short,medium,close,low,engaged,,,,,,,
short,medium,close,medium,engaged,,,,,,,
short,medium,close,crowded,overwhelmed,,,,,,,
short,medium,medium,low,engaged,,,,,,,
short,medium,medium,medium,engaged,,,,,,,
short,medium,medium,crowded,engaged,,,,,,,
short,medium,far,low,distracted,,,,,,,
short,medium,far,medium,engaged,,,,,,,
short,medium,far,crowded,engaged,,,,,,,
short,far,close,low,engaged,,,,,,,
short,far,close,medium,engaged,,,,,,,
short,far,close,crowded,overwhelmed,,,,,,,
short,far,medium,low,engaged,,,,,,,
short,far,medium,medium,engaged,,,,,,,
short,far,medium,crowded,engaged,,,,,,,
short,far,far,low,distracted,,,,,,,
short,far,far,medium,distracted,,,,,,,
short,far,far,crowded,distracted,,,,,,,
medium,close,close,low,engaged,,,,,,,
medium,close,close,medium,engaged,,,,,,,
medium,close,close,crowded,overwhelmed,,,,,,,
medium,close,medium,low,engaged,,,,,,,
medium,close,medium,medium,engaged,,,,,,,
medium,close,medium,crowded,overwhelmed,,,,,,,
medium,close,far,low,distracted,,,,,,,
medium,close,far,medium,distracted,,,,,,,
medium,close,far,crowded,overwhelmed,,,,,,,
medium,medium,close,low,,,,,,,,
medium,medium,close,medium,,,,,,,,
medium,medium,close,crowded,overwhelmed,,,,,,,
medium,medium,medium,low,,,,,,,,
medium,medium,medium,medium,,,,,,,,
medium,medium,medium,crowded,overwhelmed,,,,,,,
medium,medium,far,low,distracted,,,,,,,
medium,medium,far,medium,distracted,,,,,,,
medium,medium,far,crowded,overwhelmed,,,,,,,
medium,far,close,low,,,,,,,,
medium,far,close,medium,,,,,,,,
medium,far,close,crowded,overwhelmed,,,,,,,
medium,far,medium,low,,,,,,,,
medium,far,medium,medium,,,,,,,,
medium,far,medium,crowded,overwhelmed,,,,,,,
medium,far,far,low,distracted,,,,,,,
medium,far,far,medium,distracted,,,,,,,
medium,far,far,crowded,overwhelmed,,,,,,,
long,close,close,low,impatient,,,,,,,
long,close,close,medium,impatient,,,,,,,
long,close,close,crowded,overwhelmed,,,,,,,
long,close,medium,low,impatient,,,,,,,
long,close,medium,medium,impatient,,,,,,,
long,close,medium,crowded,overwhelmed,,,,,,,
long,close,far,low,distracted,,,,,,,
long,close,far,medium,distracted,,,,,,,
long,close,far,crowded,overwhelmed,,,,,,,
long,medium,close,low,,,,,,,,
long,medium,close,medium,,,,,,,,
long,medium,close,crowded,overwhelmed,,,,,,,
long,medium,medium,low,,,,,,,,
long,medium,medium,medium,,,,,,,,
long,medium,medium,crowded,overwhelmed,,,,,,,
long,medium,far,low,distracted,,,,,,,
long,medium,far,medium,distracted,,,,,,,
long,medium,far,crowded,overwhelmed,,,,,,,
long,far,close,low,,,,,,,,
long,far,close,medium,,,,,,,,
long,far,close,crowded,overwhelmed,,,,,,,
long,far,medium,low,,,,,,,,
long,far,medium,medium,,,,,,,,
long,far,medium,crowded,overwhelmed,,,,,,,
long,far,far,low,distracted,,,,,,,
long,far,far,medium,distracted,,,,,,,
long,far,far,crowded,overwhelmed,,,,,,,
