epoch,mean_return,best_return,success_rate,mean_duration_seconds,mean_overwhelmed_triggers,mean_impatient_triggers,mean_distracted_triggers
1,-66.86500000000001,-66.86500000000001,1.0,208.65,0.0,19.0,4.0
2,-60.485,-60.485,1.0,184.85000000000002,1.0,12.0,7.0
3,-62.565,-62.565,1.0,205.65,0.0,14.0,7.0
4,-72.71000000000001,-72.71000000000001,1.0,187.10000000000002,1.0,15.0,10.0
5,-76.795,-76.795,1.0,207.95000000000002,0.0,20.0,8.0
6,-73.625,-73.625,1.0,216.25,1.0,17.0,7.0
7,-64.76,-64.76,1.0,187.60000000000002,0.0,17.0,6.0
8,-84.8,-84.8,1.0,228.0,2.0,19.0,8.0
9,-71.325,-71.325,1.0,193.25,2.0,17.0,5.0
10,-78.315,-78.315,1.0,203.15,2.0,17.0,8.0
11,-62.225,-62.225,1.0,202.25,0.0,15.0,6.0
12,-69.905,-69.905,1.0,199.05,0.0,17.0,8.0
13,-80.75,-80.75,1.0,207.5,1.0,22.0,6.0
14,-64.275,-64.275,1.0,182.75,1.0,15.0,6.0
15,-57.34,-57.34,1.0,193.4,0.0,15.0,4.0
16,-63.480000000000004,-63.480000000000004,1.0,194.8,1.0,15.0,5.0
17,-70.295,-70.295,1.0,202.95000000000002,0.0,14.0,11.0
18,-86.995,-86.995,1.0,209.95000000000002,2.0,19.0,10.0
19,-66.235,-66.235,1.0,202.35000000000002,0.0,19.0,4.0
20,-58.83500000000001,-58.83500000000001,1.0,208.35000000000002,0.0,14.0,5.0
