run,seed,baseline_return,comparison_return,baseline_duration_seconds,comparison_duration_seconds,baseline_overwhelmed_triggers,comparison_overwhelmed_triggers,baseline_impatient_triggers,comparison_impatient_triggers,baseline_distracted_triggers,comparison_distracted_triggers
1,191664963,-76.97,-49.28,209.70000000000002,152.8,1,1,21,12,5,3
2,1662057957,-56.35,-52.96,143.5,149.6,2,1,13,13,4,4
3,1405681631,-177.54000000000002,-51.5,495.40000000000003,135.0,2,2,56,9,4,6
4,942484272,-36.535,-50.955,145.35,189.55,0,0,9,12,2,4
5,929893137,-85.435,-55.95,294.35,159.5,1,1,22,14,4,4
6,1843824992,-47.61,-33.345,136.1,133.45000000000002,1,0,12,9,3,1
7,184566854,-66.455,-36.18,224.55,141.8,0,0,20,11,2,0
8,1497586438,-56.11,-47.305,181.10000000000002,133.05,0,0,15,15,4,2
9,432652533,-85.1,-83.01,251.0,210.10000000000002,0,1,22,27,8,2
10,202244314,-133.13,-35.55,371.3,115.5,2,1,43,10,1,0
11,1130604997,-61.115,-35.8,151.15,138.0,0,0,16,8,7,3
12,2095133045,-82.07000000000001,-23.995,220.70000000000002,99.95,0,2,26,3,4,0
13,1580016183,-36.84,-20.035000000000004,128.4,100.35000000000001,0,0,8,5,4,0
14,1634535062,-40.56,-73.26,145.6,212.60000000000002,2,2,7,21,2,1
15,1540770719,-115.41,-65.685,334.1,216.85000000000002,1,0,36,22,3,0
16,1688060240,-100.02,-45.370000000000005,280.2,153.70000000000002,1,0,33,11,1,4
17,1102145672,-46.885,-26.525,148.85,105.25,0,0,13,8,3,0
18,275121930,-56.365,-65.09,203.65,190.9,0,1,11,16,7,5
19,1803345590,-35.015,-14.315000000000001,130.15,103.15,0,0,7,2,4,0
20,967196436,-46.370000000000005,-41.255,163.70000000000002,152.55,0,0,10,9,5,4
