run,seed,baseline_return,comparison_return,baseline_duration_seconds,comparison_duration_seconds,baseline_overwhelmed_triggers,comparison_overwhelmed_triggers,baseline_impatient_triggers,comparison_impatient_triggers,baseline_distracted_triggers,comparison_distracted_triggers
1,191664963,-76.97,-21.855000000000004,209.70000000000002,118.55000000000001,1,1,21,2,5,1
2,1662057957,-56.35,-52.18,143.5,141.8,2,1,13,13,4,4
3,1405681631,-177.54000000000002,-94.33500000000001,495.40000000000003,183.35000000000002,2,3,56,23,4,9
4,942484272,-36.535,-36.96,145.35,129.6,0,0,9,9,2,3
5,929893137,-85.435,-72.43,294.35,164.3,1,1,22,19,4,7
6,1843824992,-47.61,-45.38,136.1,153.8,1,0,12,12,3,3
7,184566854,-66.455,-62.985,224.55,229.85000000000002,0,1,20,15,2,3
8,1497586438,-56.11,-26.21,181.10000000000002,142.1,0,0,15,4,4,2
9,432652533,-85.1,-61.46,251.0,154.60000000000002,0,0,22,17,8,6
10,202244314,-133.13,-89.8,371.3,258.0,2,2,43,24,1,4
11,1130604997,-61.115,-49.945,151.15,159.45000000000002,0,0,16,15,7,2
12,2095133045,-82.07000000000001,-29.730000000000004,220.70000000000002,117.30000000000001,0,0,26,7,4,2
13,1580016183,-36.84,-59.275000000000006,128.4,192.75,0,0,8,18,4,2
14,1634535062,-40.56,-45.005,145.6,130.05,2,1,7,10,2,4
15,1540770719,-113.47,-31.645000000000003,334.70000000000005,136.45000000000002,1,0,36,9,2,0
16,1688060240,-100.02,-42.645,280.2,146.45000000000002,1,0,33,9,1,5
17,1102145672,-46.885,-27.915,148.85,119.15,0,0,13,4,3,4
18,275121930,-56.365,-92.98,203.65,289.8,0,1,11,25,7,5
19,1803345590,-35.015,-47.215,130.15,152.15,0,2,7,8,4,4
20,967196436,-46.370000000000005,-42.185,163.70000000000002,161.85000000000002,0,0,10,12,5,1
