run,seed,baseline_return,comparison_return,baseline_duration_seconds,comparison_duration_seconds,baseline_overwhelmed_triggers,comparison_overwhelmed_triggers,baseline_impatient_triggers,comparison_impatient_triggers,baseline_distracted_triggers,comparison_distracted_triggers
1,191664963,-76.97,-66.985,209.70000000000002,189.85000000000002,1,1,21,22,5,0
2,1662057957,-56.35,-52.620000000000005,143.5,146.20000000000002,2,1,13,11,4,6
3,1405681631,-177.54000000000002,-86.97,495.40000000000003,249.70000000000002,2,2,56,24,4,3
4,942484272,-36.535,-20.9,145.35,109.0,0,0,9,5,2,0
5,929893137,-85.435,-26.89,294.35,108.9,1,0,22,7,4,1
6,1843824992,-47.61,-63.07000000000001,136.1,170.70000000000002,1,0,12,18,3,5
7,184566854,-66.455,-24.005000000000003,224.55,100.05000000000001,0,0,20,7,2,0
8,1497586438,-56.11,-42.63,181.10000000000002,146.3,0,0,15,11,4,3
9,432652533,-85.1,-43.95,251.0,119.5,0,1,22,12,8,2
10,202244314,-133.13,-42.33,371.3,143.3,2,1,43,9,1,3
11,1130604997,-61.115,-32.615,151.15,106.15,0,1,16,5,7,4
12,2095133045,-82.07000000000001,-28.495,220.70000000000002,104.95,0,1,26,7,4,0
13,1580016183,-36.84,-20.450000000000003,128.4,104.5,0,0,8,4,4,1
14,1634535062,-40.56,-46.105000000000004,145.6,141.05,2,1,7,8,2,6
15,1540770719,-115.41,-18.730000000000004,334.1,107.30000000000001,1,0,36,4,3,0
16,1688060240,-100.02,-18.14,280.2,101.4,1,0,33,4,1,0
17,1102145672,-46.885,-33.115,148.85,111.15,0,1,13,9,3,0
18,275121930,-56.365,-17.910000000000004,203.65,99.10000000000001,0,0,11,4,7,0
19,1803345590,-35.015,-58.870000000000005,130.15,168.70000000000002,0,0,7,14,4,7
20,967196436,-46.370000000000005,-41.585,163.70000000000002,155.85000000000002,0,0,10,10,5,3
