epoch,mean_return,best_return,success_rate,mean_duration_seconds,mean_overwhelmed_triggers,mean_impatient_triggers,mean_distracted_triggers
1,-70.36525,-58.165000000000006,1.0,224.6525,0.1,16.15,7.6
2,-72.40825000000001,-60.375,1.0,223.08250000000004,0.25,17.05,7.5
3,-73.23275000000001,-59.765,1.0,229.32750000000001,0.35,17.45,7.0
4,-71.16575000000002,-58.175,1.0,219.65749999999997,0.15,16.25,8.05
5,-70.56675,-53.865,1.0,218.66750000000002,0.35,16.35,7.3
6,-74.63899999999998,-60.8,1.0,226.39000000000004,0.3,16.7,8.7
7,-70.63375,-58.72,1.0,219.3375,0.15,16.55,7.5
8,-72.90874999999998,-57.08500000000001,1.0,229.08750000000003,0.4,16.65,7.55
9,-74.12375,-60.265,1.0,226.2375,0.2,17.05,8.3
10,-72.21950000000001,-62.405,1.0,227.19500000000002,0.05,16.65,8.0
11,-75.40225000000001,-63.715,1.0,229.02249999999998,0.35,17.1,8.45
12,-71.14875,-54.42,1.0,223.4875,0.15,16.65,7.45
13,-70.94800000000001,-51.495000000000005,1.0,225.48000000000002,0.2,16.65,7.15
14,-70.81475,-61.225,1.0,221.14749999999998,0.1,16.1,8.05
15,-73.07300000000001,-56.32000000000001,1.0,223.73000000000002,0.15,17.05,8.0
16,-70.33425000000001,-55.78,1.0,221.34250000000003,0.15,15.85,7.95
17,-69.48925,-51.255,1.0,218.8925,0.35,15.6,7.5
18,-69.54724999999999,-50.47,1.0,220.4725,0.2,16.3,7.05
19,-69.65850000000002,-58.230000000000004,1.0,218.58500000000004,0.05,15.5,8.3
20,-74.57175,-60.885000000000005,1.0,228.71750000000003,0.35,17.7,7.45
21,-71.838,-61.145,1.0,226.38000000000002,0.3,16.35,7.65
22,-75.99324999999999,-55.365,1.0,232.93249999999998,0.25,18.25,7.6
23,-69.00975000000001,-54.315,1.0,226.0975,0.2,15.5,7.3
24,-70.96225000000001,-58.025000000000006,1.0,219.6225,0.3,16.2,7.7
25,-74.2855,-59.6,1.0,229.85500000000002,0.1,17.85,7.6
26,-76.51,-62.77,1.0,228.1,0.4,18.2,7.85
27,-72.221,-56.755,1.0,226.20999999999998,0.25,16.45,7.85
28,-72.008,-51.96000000000001,1.0,226.07999999999998,0.25,16.3,7.9
29,-73.52375,-62.2,1.0,225.2375,0.15,17.1,8.1
30,-71.83475,-57.410000000000004,1.0,227.34750000000003,0.15,16.15,8.1
