epoch,mean_return,best_return,std_0,std_1,std_2,std_3,std_4,distribution_entropy,mean_duration_seconds,mean_overwhelmed_triggers,mean_impatient_triggers,mean_distracted_triggers
1,-66.1895,-39.615,0.4,0.6,0.8,0.1,0.08,0.6161190217667072,175.22833333333332,0.36666666666666664,19.633333333333333,3.966666666666667
2,-58.00300000000001,-20.9,0.3175762672332831,0.5358497667456069,1.0791493710012945,0.02922073167697565,0.07020859865400583,-0.7892342636731999,176.69666666666666,0.43333333333333335,16.066666666666666,3.2333333333333334
3,-49.493500000000004,-17.060000000000002,0.0037436751686330066,0.5695630449183924,0.3420689379752458,0.019284522563091478,0.05652423891174104,-6.950161777895154,167.60166666666672,0.8666666666666667,12.166666666666666,2.466666666666667
4,-49.602166666666676,-19.385,8.593722718841327e-08,9.144190115504691e-05,7.351490773605519e-05,1.3875101772131665e-06,2.6114956080804056e-05,-52.03378718524557,172.68833333333336,0.3,13.766666666666667,1.8
5,-44.6565,-17.125,1.2008906844306353e-07,0.00010751868472081322,6.0520042523232944e-05,2.9372578073142673e-07,1.727108113637299e-05,-53.69781763622979,159.89833333333328,0.7666666666666667,10.866666666666667,1.9333333333333333
6,-28.16616666666666,-27.54,1.3129119122608258e-07,9.90062612422647e-06,3.979446538031358e-05,1.4630556494461236e-08,2.5004935095383812e-05,-59.042441688368406,116.32833333333336,0.0,8.033333333333333,0.23333333333333334
7,-25.005000000000003,-25.005000000000003,1.3646071644326629e-07,1.2186950770160779e-05,3.679781621578405e-05,1.473128100248564e-08,2.280802428162834e-05,-58.95944401997515,110.05000000000004,0.0,5.0,2.0
8,-37.87,-37.870000000000005,1.560327335453233e-07,1.3351727374744217e-05,3.718905753421114e-05,1.1135103532368178e-08,1.692648637896138e-05,-59.30166229752581,138.69999999999996,0.0,10.0,2.0
9,-49.970000000000006,-49.97,1.3356116417731158e-07,1.3181678839109875e-05,3.555031330461642e-05,9.118807674294233e-09,1.859928667565684e-05,-59.52832595998642,139.69999999999996,0.0,12.0,6.0
10,-14.230000000000006,-14.230000000000002,1.3937703212027204e-07,1.2761361755280412e-05,2.551361279753248e-05,9.418234166610092e-09,1.9449114753385545e-05,-59.80516717358302,102.30000000000004,0.0,2.0,0.0
11,-34.43499999999999,-34.435,1.4421040452153918e-07,1.4897600554377354e-05,2.4390770951713014e-05,1.1729543633821711e-08,1.5815334700300305e-05,-59.70860154566033,124.34999999999998,0.0,11.0,0.0
12,-51.859833333333334,-27.205000000000002,1.715146577106651e-07,1.437919566320832e-05,2.704884164513177e-05,1.2580934900586393e-08,1.598867482914953e-05,-59.386212139773505,146.59833333333333,1.0,16.566666666666666,0.03333333333333333
13,-57.694999999999986,-57.695,6.058858672970186e-30,2.767960086052872e-28,4.223450357467924e-28,3.95426280435898e-31,2.350084587569791e-28,-85.00871105373847,156.94999999999996,2.0,16.0,1.0
14,-45.42000000000001,-45.42,4.516810283266961e-16,4.516810283266961e-16,4.516810283266961e-16,1.1292025708167404e-16,3.387607712450221e-16,-85.00871105373847,134.19999999999996,2.0,10.0,2.0
15,-37.865,-37.865,4.664941601352359e-16,4.1232648001943564e-16,4.664941601352359e-16,1.336090500046606e-16,4.817342806578359e-16,-85.00871105373847,118.65000000000003,1.0,9.0,2.0
16,-30.255000000000003,-30.255000000000003,6.750075392286996e-16,5.531940229480001e-16,5.149956084816065e-16,1.2708755636133584e-16,5.264232095796171e-16,-85.00871105373847,122.55000000000004,0.0,6.0,3.0
17,-56.45499999999999,-56.455,7.283137740772726e-16,6.699512317852514e-16,4.664941601352359e-16,1.3519027723346432e-16,4.655821472196427e-16,-85.00871105373847,164.55000000000004,1.0,15.0,3.0
18,-22.710000000000004,-22.71,6.334279577469838e-16,7.329675835640271e-16,5.016168125823962e-16,1.6493059200777426e-16,4.591473362606718e-16,-85.00871105373847,107.09999999999998,1.0,3.0,1.0
19,-36.75,-36.75,6.89954167427526e-16,6.49332390067322e-16,4.878712704959222e-16,2.1325691369448221e-16,5.007687700273417e-16,-85.00871105373847,127.5,0.0,11.0,1.0
20,-44.730000000000004,-44.730000000000004,6.800262517437052e-16,5.2155632658453e-16,5.149956084816065e-16,1.9007311567291372e-16,6.794009401156044e-16,-85.00871105373847,167.30000000000004,0.0,13.0,1.0
