run,seed,baseline_return,comparison_return,baseline_duration_seconds,comparison_duration_seconds,baseline_overwhelmed_triggers,comparison_overwhelmed_triggers,baseline_impatient_triggers,comparison_impatient_triggers,baseline_distracted_triggers,comparison_distracted_triggers
1,191664963,-42.485,-37.4925,209.70000000000002,189.85000000000002,1,1,21,22,5,0
2,1662057957,-36.175,-30.310000000000002,143.5,146.20000000000002,2,1,13,11,4,6
3,1405681631,-96.77000000000001,-51.485,495.40000000000003,249.70000000000002,2,2,56,24,4,3
4,942484272,-18.2675,-10.45,145.35,109.0,0,0,9,5,2,0
5,929893137,-46.7175,-13.445,294.35,108.9,1,0,22,7,4,1
6,1843824992,-27.805,-31.535000000000004,136.1,170.70000000000002,1,0,12,18,3,5
7,184566854,-33.2275,-12.002500000000001,224.55,100.05000000000001,0,0,20,7,2,0
8,1497586438,-28.055,-21.315,181.10000000000002,146.3,0,0,15,11,4,3
9,432652533,-42.55,-25.975,251.0,119.5,0,1,22,12,8,2
10,202244314,-74.565,-25.165,371.3,143.3,2,1,43,9,1,3
11,1130604997,-30.5575,-20.3075,151.15,106.15,0,1,16,5,7,4
12,2095133045,-41.035000000000004,-18.247500000000002,220.70000000000002,104.95,0,1,26,7,4,0
13,1580016183,-18.42,-10.225000000000001,128.4,104.5,0,0,8,4,4,1
14,1634535062,-28.28,-27.052500000000002,145.6,141.05,2,1,7,8,2,6
15,1540770719,-61.705,-9.365000000000002,334.1,107.30000000000001,1,0,36,4,3,0
16,1688060240,-54.01,-9.07,280.2,101.4,1,0,33,4,1,0
17,1102145672,-23.4425,-20.5575,148.85,111.15,0,1,13,9,3,0
18,275121930,-28.1825,-8.955000000000002,203.65,99.10000000000001,0,0,11,4,7,0
19,1803345590,-17.5075,-29.435000000000002,130.15,168.70000000000002,0,0,7,14,4,7
20,967196436,-23.185000000000002,-20.7925,163.70000000000002,155.85000000000002,0,0,10,10,5,3
